Race UID,year,Race Title,N Participants,Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,Last Time,N DNF,N Women,N Countries
36906,2023,BigSea 2023 - BigSea 18 mile,85,20K,30.5,634.0,3.8449,2.43,5.4811,0,34,1
36916,2022,"2022 ""Trans Dapeng 100"" Ultra Trail by Coast and Mountain 2022 - UTDP",14,100M,110.0,6001.0,32.9882,24.775,35.2261,0,2,2
36918,2022,"2022 ""Trans Dapeng 100"" Ultra Trail by Coast and Mountain 2022 - TNDP",110,50K,51.0,2801.0,12.829,6.8806,18.1228,0,16,4
36920,2022,"2022 ""Trans Dapeng 100"" Ultra Trail by Coast and Mountain 2022 - BCDP",167,20K,14.0,901.0,3.9012,1.8344,6.6047,0,63,4
36922,2023,Meråker Mountain Challenge 2023 - Meråker Mountain Challenge 100K,8,100K,100.0,4540.0,18.9538,0.0,29.2592,3,0,2
36924,2023,Fishtail 100 Ultra 2023 - 100K,2,100M,98.8,7603.0,24.0761,20.1819,27.9703,0,0,1
3693,2017,Ultra Coahuila 2017 - 100K,51,100K,98.8,3700.0,19.2796,12.6978,23.5186,0,10,4
3693,2018,Ultra Coahuila 2018 - 100K,100,100K,98.3,3690.0,19.4954,0.0,25.1528,21,27,5
3693,2019,Ultra Coahuila Garmin 2019 - 100K Ultra,56,100K,95.2,5320.0,18.0451,12.1742,23.0031,0,4,4
3693,2021,ULTRA COAHUILA GARMIN 2021 - 100K Ultra Coahuila,97,100K,99.1,5340.0,18.1783,0.0,22.3806,40,18,6
3693,2022,ULTRA COAHUILA GARMIN 2022 - 100K Ultra Coahuila,87,100K,99.1,5340.0,19.5884,0.0,22.0606,25,13,3
3693,2023,ULTRA COAHUILA GARMIN 2023 - 100K Ultra Coahuila,63,100K,98.3,4970.0,18.6073,12.5961,23.1675,0,7,5
36932,2023,BTR Ultra 2023 - BTRU 55 KM,88,50K,55.0,3596.0,14.5726,0.0,17.4561,30,23,26
36934,2023,BTR Ultra 2023 - BTRU 30 KM,144,20K,30.0,1362.0,5.7859,0.0,7.6631,32,32,24
36936,2023,BTR Ultra 2023 - BTRU 15 KM,412,20K,15.0,973.0,3.7842,0.0,4.9992,98,105,19
36938,2023,Meråker Mountain Challenge 2023 - Meråker Mountain Challenge 21K,120,20K,20.2,1300.0,4.3392,1.9764,8.75,0,55,3
3694,2015,Beskidy Ultra - Trail® 2015 - BUT 120,9,100M,128.5,6604.0,23.0306,19.3169,25.6328,0,0,1
3694,2016,Beskidy Ultra - Trail® 2016 - BUT 120,31,100M,127.8,6690.0,21.5411,17.0469,24.3294,0,1,2
3694,2017,Beskidy Ultra - Trail® 2017 - BUT 130,44,100M,132.4,6620.0,25.8203,17.7369,28.7603,0,6,3
3694,2018,Beskidy Ultra - Trail® 2018 - BUT 130,50,100M,133.5,6750.0,24.6732,18.9481,29.0389,0,4,5
3694,2019,Beskidy Ultra - Trail® 2019 - BUT 100,120,100K,102.3,6120.0,20.3834,0.0,24.9447,23,11,8
3694,2021,Beskidy Ultra - Trail® 2021 - Ultra Trail 100,30,100K,102.6,6070.0,20.3938,13.3761,25.1058,0,4,1
36946,2022,Kyoto Great Round 2022 - Kyoto Great Round 160,8,100M,160.0,8000.0,27.9695,24.3456,29.5089,0,2,1
36946,2023,Kyoto Great Round 2023 - Kyoto Great Round 160,14,100M,160.0,8000.0,28.7333,24.8536,30.9014,0,0,1
36948,2022,XC RUN Buzios 2022,188,20K,42.2,957.0,6.0738,3.2792,8.105,0,48,5
3695,2017,Ultra Coahuila 2017 - 50K,293,50K,48.6,1950.0,9.4226,5.6533,16.905,0,76,3
3695,2018,Ultra Coahuila 2018 - 50K,324,50K,48.9,2150.0,9.2456,0.0,13.1889,10,84,7
3695,2019,Ultra Coahuila Garmin 2019 - 50K Ultra Coahuila GARMIN 19,396,50K,49.2,2360.0,9.2833,4.6075,13.3522,0,129,8
3695,2021,ULTRA COAHUILA GARMIN 2021 - 50K Ultra Coahuila,493,50K,50.4,3360.0,9.9489,0.0,31.33,33,160,5
